machine_id,maintenance_duration,available_from,available_to,maintenance_priority
M0083,1,08:00,16:00,Medium
M0084,4,11:00,17:00,Medium
M0085,3,09:00,16:00,High
M0086,3,08:00,16:00,Low
M0087,2,08:00,17:00,Medium
M0088,1,11:00,16:00,Medium
M0089,4,11:00,19:00,Medium
M0090,2,09:00,16:00,High
M0091,4,11:00,17:00,Medium
M0092,4,10:00,19:00,High
M0093,2,11:00,17:00,Low
M0094,2,10:00,17:00,Low
M0095,2,09:00,18:00,High
M0096,2,09:00,18:00,Medium
M0097,2,09:00,17:00,Low
M0098,4,09:00,17:00,Low
M0099,2,09:00,17:00,Low
M0100,1,10:00,18:00,High
M0101,3,10:00,18:00,Low
M0102,2,09:00,16:00,Medium
M0103,2,11:00,16:00,Low
M0104,4,08:00,17:00,Medium
M0105,2,09:00,19:00,Low
M0106,2,11:00,19:00,Medium
M0107,2,08:00,18:00,Low
M0108,4,09:00,18:00,High
M0109,2,09:00,18:00,Low
M0110,3,10:00,17:00,Medium
M0111,4,08:00,19:00,High
M0112,3,08:00,16:00,Medium
M0113,4,11:00,17:00,Medium
M0114,2,10:00,16:00,Medium
M0115,3,10:00,16:00,Medium
M0116,4,10:00,17:00,Medium
M0117,1,10:00,16:00,High
M0118,2,08:00,19:00,Medium
M0119,4,08:00,16:00,Medium
M0120,1,09:00,19:00,High
M0121,4,09:00,19:00,Medium
M0122,1,10:00,19:00,Low
M0123,2,10:00,18:00,Medium
M0124,3,10:00,16:00,High
M0125,1,09:00,17:00,Low
M0126,4,11:00,17:00,Medium
M0127,2,11:00,16:00,Low
M0128,1,09:00,18:00,Medium
M0129,4,09:00,18:00,Low
M0130,4,09:00,19:00,Medium
M0131,4,09:00,16:00,High
M0132,1,09:00,16:00,Medium
M0133,1,09:00,17:00,Medium
M0134,1,10:00,16:00,High
M0135,3,10:00,18:00,High
M0136,1,10:00,16:00,Low
M0137,1,10:00,17:00,Medium
M0138,1,09:00,19:00,Low
M0139,3,11:00,17:00,High
M0140,1,08:00,17:00,High
M0141,4,09:00,19:00,Medium
M0142,1,08:00,17:00,High
M0143,4,11:00,17:00,Medium
M0144,4,10:00,16:00,Medium
M0145,4,11:00,16:00,Low
M0146,3,09:00,19:00,High
M0147,3,10:00,16:00,Low
M0148,3,09:00,16:00,High
M0149,1,10:00,17:00,High
M0150,4,08:00,18:00,High
M0151,3,08:00,16:00,Low
M0152,3,08:00,18:00,Medium
M0153,1,11:00,16:00,Low
M0154,3,09:00,16:00,Medium
M0155,1,11:00,19:00,Low
M0156,2,08:00,19:00,High
M0157,3,09:00,19:00,Medium
M0158,2,08:00,18:00,Medium
M0159,1,11:00,17:00,Medium
M0160,4,11:00,16:00,Medium
M0161,3,11:00,16:00,Medium
M0162,1,08:00,16:00,Medium
M0163,4,09:00,18:00,High
M0164,4,09:00,19:00,Medium
M0165,2,08:00,17:00,High
M0166,1,09:00,18:00,High
M0167,4,08:00,19:00,Low
M0168,3,09:00,18:00,High
M0169,3,10:00,17:00,Low
M0170,2,10:00,19:00,High
M0171,4,11:00,18:00,Medium
M0172,1,10:00,17:00,High
M0173,3,10:00,16:00,High
M0174,4,10:00,17:00,High
M0175,4,08:00,16:00,High
M0176,2,10:00,18:00,Medium
M0177,3,10:00,19:00,Low
M0178,3,11:00,19:00,Medium
M0179,1,10:00,18:00,Low
M0180,3,10:00,19:00,Medium
M0181,1,09:00,19:00,Medium
M0182,3,11:00,16:00,High
M0183,2,11:00,18:00,Medium
M0184,3,11:00,17:00,High
M0185,1,11:00,16:00,Low
M0186,1,11:00,18:00,High
M0187,2,11:00,16:00,High
M0188,3,08:00,17:00,Medium
M0189,3,10:00,17:00,Medium
M0190,2,11:00,18:00,High
M0191,3,10:00,17:00,Low
M0192,3,10:00,16:00,Medium
M0193,1,08:00,17:00,Medium
M0194,3,11:00,16:00,Low
M0195,3,09:00,16:00,Medium
M0196,2,08:00,17:00,Low
M0197,2,09:00,18:00,Low
M0198,4,10:00,19:00,Low
M0199,1,10:00,17:00,High
M0200,3,08:00,16:00,Medium
M0201,3,08:00,16:00,High
M0202,4,09:00,17:00,Medium
M0203,3,11:00,18:00,Medium
M0204,1,09:00,18:00,Medium
M0205,4,08:00,16:00,Medium
M0206,1,09:00,16:00,Low
M0207,4,08:00,18:00,Medium
M0208,4,09:00,19:00,Low
M0209,2,08:00,17:00,Medium
M0210,1,08:00,16:00,Medium
M0211,3,08:00,16:00,Low
M0212,3,11:00,18:00,Low
M0213,1,09:00,17:00,High
M0214,3,09:00,18:00,Medium
M0215,3,09:00,17:00,Low
M0216,1,08:00,17:00,High
M0217,4,09:00,17:00,Low
M0218,1,09:00,16:00,Medium
M0219,4,08:00,19:00,High
M0220,3,10:00,18:00,Low
M0221,3,08:00,19:00,Low
M0222,3,09:00,18:00,Low
M0223,2,08:00,17:00,Medium
M0224,4,10:00,16:00,Low
M0225,2,08:00,19:00,Medium
M0226,2,09:00,16:00,Low
M0227,1,10:00,18:00,Medium
M0228,2,11:00,16:00,High
M0229,1,09:00,16:00,High
M0230,1,10:00,19:00,Medium
M0231,2,10:00,17:00,Medium
M0232,4,11:00,16:00,Medium
M0233,4,08:00,17:00,Medium
M0234,4,08:00,18:00,Medium
M0235,4,09:00,16:00,Low
M0236,4,11:00,19:00,High
M0237,2,08:00,18:00,Medium
M0238,2,11:00,18:00,Low
M0239,3,08:00,19:00,Medium
M0240,4,10:00,16:00,Medium
M0241,2,08:00,16:00,High
M0242,3,11:00,18:00,High
M0243,4,10:00,16:00,High
M0244,1,10:00,17:00,Low
M0245,3,10:00,19:00,Medium
M0246,2,11:00,17:00,Medium
M0247,1,09:00,16:00,Low
M0248,1,09:00,18:00,Low
M0249,1,09:00,19:00,High
M0250,3,11:00,16:00,Low
M0251,2,10:00,16:00,Medium
M0252,1,09:00,18:00,Low
M0253,4,11:00,18:00,Low
M0254,1,09:00,17:00,Low
M0255,1,08:00,19:00,High
M0256,3,09:00,19:00,High
M0257,3,09:00,18:00,High
M0258,2,10:00,17:00,Medium
M0259,4,11:00,19:00,Low
M0260,3,10:00,18:00,Medium
M0261,1,10:00,16:00,Medium
M0262,2,10:00,19:00,High
M0263,1,10:00,17:00,Low
M0264,1,10:00,17:00,Medium
M0265,3,09:00,17:00,Low
M0266,2,10:00,16:00,Medium
M0267,4,10:00,19:00,High
M0268,4,11:00,19:00,Medium
M0269,3,08:00,16:00,Medium
M0270,3,09:00,19:00,Medium
M0271,2,09:00,16:00,Medium
M0272,4,09:00,16:00,High
M0273,4,10:00,16:00,High
M0274,4,10:00,17:00,High
M0275,1,10:00,19:00,High
M0276,4,11:00,16:00,Medium
M0277,1,08:00,19:00,Medium
M0278,2,10:00,17:00,Medium
M0279,1,08:00,16:00,Low
M0280,2,11:00,18:00,High
M0281,4,09:00,17:00,Low
M0282,4,10:00,18:00,High
M0283,2,08:00,19:00,Medium
M0284,3,08:00,19:00,Medium
M0285,2,10:00,17:00,Medium
M0286,3,09:00,19:00,High
M0287,1,09:00,18:00,Medium
M0288,1,09:00,16:00,Medium
M0289,1,11:00,16:00,Low
M0290,4,08:00,16:00,Medium
M0291,1,08:00,17:00,Low
M0292,3,08:00,19:00,High
M0293,1,11:00,18:00,Medium
M0294,2,08:00,19:00,Medium
M0295,2,11:00,19:00,Low
M0296,4,09:00,19:00,Low
M0297,2,10:00,16:00,High
M0298,3,08:00,18:00,Low
M0299,1,08:00,18:00,Low
M0300,4,09:00,19:00,Low
M0301,1,10:00,16:00,High
M0302,1,11:00,16:00,High
M0303,3,10:00,18:00,Medium
M0304,2,09:00,16:00,Low
M0305,2,09:00,16:00,Medium
M0306,1,10:00,16:00,High
M0307,4,11:00,17:00,Medium
M0308,2,11:00,19:00,Low
M0309,4,08:00,18:00,Low
M0310,2,11:00,18:00,Low
M0311,4,10:00,17:00,Medium
M0312,3,09:00,19:00,High
M0313,4,08:00,18:00,Low
M0314,3,08:00,16:00,Low
M0315,3,09:00,18:00,Low
M0316,4,11:00,16:00,High
M0317,3,09:00,17:00,Low
M0318,1,11:00,16:00,High
M0319,3,09:00,18:00,Medium
M0320,2,10:00,18:00,Medium
M0321,4,11:00,18:00,Low
M0322,1,10:00,17:00,Low
M0323,4,08:00,17:00,Medium
M0324,2,09:00,19:00,High
M0325,2,08:00,18:00,Medium
M0326,2,08:00,16:00,Medium
M0327,3,08:00,17:00,Low
M0328,3,08:00,18:00,High
M0329,4,09:00,18:00,High
M0330,4,08:00,17:00,Low
M0331,1,09:00,19:00,High
M0332,1,09:00,17:00,Medium
M0333,4,10:00,17:00,Medium
M0334,3,11:00,16:00,High
M0335,2,11:00,16:00,High
M0336,4,09:00,19:00,Medium
M0337,1,10:00,18:00,Low
M0338,3,09:00,17:00,Medium
M0339,4,09:00,19:00,High
M0340,4,09:00,16:00,Low
M0341,3,10:00,17:00,Medium
M0342,4,11:00,18:00,Medium
M0343,3,10:00,16:00,Medium
M0344,2,08:00,16:00,Medium
M0345,3,10:00,16:00,High
M0346,3,10:00,19:00,Low
M0347,3,10:00,18:00,Low
M0348,4,10:00,17:00,Low
M0349,4,11:00,19:00,High
M0350,3,08:00,19:00,Medium
M0351,4,11:00,19:00,Low
M0352,1,11:00,16:00,High
M0353,1,10:00,18:00,High
M0354,4,09:00,19:00,High
M0355,4,09:00,17:00,High
M0356,3,11:00,18:00,Low
M0357,2,11:00,17:00,High
M0358,4,10:00,18:00,Medium
M0359,1,11:00,17:00,High
M0360,3,10:00,16:00,High
M0361,4,09:00,19:00,High
M0362,1,09:00,17:00,Medium
M0363,1,08:00,18:00,Low
M0364,2,09:00,19:00,Medium
M0365,3,11:00,19:00,High
M0366,3,09:00,18:00,High
M0367,2,10:00,17:00,Low
M0368,2,09:00,16:00,Low
M0369,3,08:00,16:00,Low
M0370,3,09:00,17:00,High
M0371,4,10:00,19:00,High
M0372,4,10:00,19:00,Low
M0373,2,11:00,19:00,Medium
M0374,4,09:00,19:00,High
M0375,1,10:00,17:00,High
M0376,4,08:00,19:00,Medium
M0377,4,11:00,18:00,Medium
M0378,1,08:00,19:00,Medium
M0379,2,09:00,16:00,Low
M0380,1,09:00,19:00,Medium
M0381,4,09:00,17:00,Medium
M0382,2,11:00,16:00,High
M0383,4,10:00,17:00,Medium
M0384,1,11:00,17:00,High
M0385,1,08:00,16:00,Low
M0386,4,11:00,17:00,Medium
M0387,3,08:00,17:00,Low
M0388,3,11:00,19:00,Low
M0389,1,10:00,18:00,High
M0390,1,08:00,17:00,High
M0391,3,09:00,17:00,Low
M0392,3,09:00,17:00,Medium
M0393,4,11:00,19:00,High
M0394,4,09:00,18:00,Low
M0395,3,08:00,16:00,Medium
M0396,4,09:00,19:00,High
M0397,4,10:00,19:00,Medium
M0398,2,10:00,18:00,Low
M0399,4,11:00,18:00,Medium
M0400,1,08:00,19:00,High
M0401,4,10:00,16:00,Medium
M0402,4,10:00,19:00,Low
M0403,3,08:00,18:00,High
M0404,1,09:00,16:00,Low
M0405,4,09:00,18:00,High
M0406,4,11:00,16:00,Low
M0407,2,09:00,17:00,High
M0408,4,08:00,18:00,Medium
M0409,4,10:00,18:00,Medium
M0410,2,09:00,19:00,Low
M0411,3,11:00,18:00,Medium
M0412,4,09:00,18:00,High
M0413,2,08:00,17:00,High
M0414,1,11:00,18:00,Medium
M0415,3,09:00,17:00,Medium
M0416,1,11:00,17:00,High
M0417,1,08:00,17:00,High
M0418,2,10:00,17:00,Medium
M0419,4,08:00,16:00,Medium
M0420,2,08:00,19:00,Medium
M0421,2,08:00,16:00,Medium
M0422,2,08:00,18:00,Low
M0423,2,10:00,16:00,Medium
M0424,3,10:00,16:00,Medium
M0425,4,11:00,18:00,High
M0426,1,09:00,18:00,Low
M0427,1,10:00,18:00,Medium
M0428,4,10:00,16:00,Medium
M0429,1,09:00,16:00,Medium
M0430,4,10:00,18:00,Low
M0431,1,08:00,19:00,Medium
M0432,2,08:00,19:00,Medium
M0433,1,09:00,17:00,Medium
M0434,4,11:00,18:00,Medium
M0435,4,11:00,17:00,Medium
M0436,4,09:00,19:00,High
M0437,4,09:00,17:00,Low
M0438,4,08:00,18:00,High
M0439,3,11:00,18:00,Medium
M0440,3,10:00,18:00,Low
M0441,1,08:00,16:00,Low
M0442,4,09:00,17:00,Medium
M0443,1,11:00,19:00,High
M0444,4,10:00,19:00,High
M0445,4,10:00,19:00,High
M0446,3,08:00,16:00,Medium
M0447,3,11:00,16:00,Medium
M0448,2,11:00,18:00,Low
M0449,3,09:00,19:00,Medium
M0450,2,11:00,16:00,Medium
M0451,2,11:00,18:00,Low
M0452,2,08:00,19:00,Low
M0453,2,11:00,17:00,Medium
M0454,2,10:00,18:00,High
M0455,1,08:00,16:00,High
M0456,3,08:00,16:00,High
M0457,2,09:00,18:00,Medium
M0458,4,11:00,18:00,Medium
M0459,3,09:00,16:00,Medium
M0460,3,10:00,17:00,High
M0461,2,08:00,19:00,Low
M0462,1,08:00,17:00,Medium
M0463,2,08:00,18:00,High
M0464,1,10:00,17:00,Medium
M0465,4,10:00,16:00,Medium
M0466,3,09:00,18:00,Medium
M0467,4,09:00,19:00,Low
M0468,1,09:00,16:00,Medium
M0469,1,11:00,16:00,Medium
M0470,4,08:00,19:00,Low
M0471,1,08:00,19:00,Low
M0472,4,09:00,17:00,High
M0473,3,08:00,18:00,Low
M0474,4,09:00,19:00,Medium
M0475,3,11:00,19:00,Low
M0476,4,11:00,18:00,High
M0477,1,10:00,19:00,Low
M0478,4,11:00,19:00,Medium
M0479,1,09:00,17:00,High
M0480,4,11:00,16:00,High
M0481,4,10:00,16:00,Low
M0482,2,08:00,16:00,High
M0483,1,09:00,16:00,Medium
M0484,2,08:00,19:00,Medium
M0485,1,10:00,18:00,Low
M0486,2,10:00,18:00,Low
M0487,3,10:00,17:00,High
M0488,4,08:00,17:00,Medium
M0489,1,08:00,19:00,Medium
M0490,1,08:00,18:00,High
M0491,4,08:00,18:00,High
M0492,1,10:00,16:00,Low
M0493,1,10:00,19:00,Medium
M0494,2,09:00,19:00,Low
M0495,1,09:00,16:00,High
M0496,3,08:00,19:00,Medium
M0497,3,11:00,19:00,High
M0498,4,11:00,17:00,Low
M0499,1,10:00,18:00,Low
M0500,4,10:00,19:00,Low
M0501,3,10:00,17:00,Low
M0502,1,09:00,18:00,Low
M0503,1,09:00,16:00,High
M0504,4,10:00,17:00,Low
M0505,3,10:00,17:00,Low
M0506,1,10:00,18:00,High
M0507,4,11:00,16:00,Medium
M0508,3,09:00,17:00,High
M0509,4,11:00,19:00,Low
M0510,2,11:00,19:00,Medium
M0511,1,10:00,19:00,Low
M0512,2,10:00,16:00,Low
M0513,3,08:00,17:00,High
M0514,2,08:00,19:00,Low
M0515,2,11:00,16:00,Medium
M0516,3,09:00,19:00,Medium
M0517,4,10:00,18:00,Medium
M0518,2,10:00,17:00,High
M0519,4,11:00,17:00,Low
M0520,2,08:00,16:00,Medium
M0521,4,09:00,16:00,High
M0522,3,08:00,17:00,Medium
M0523,2,08:00,19:00,High
M0524,3,08:00,19:00,Low
M0525,2,08:00,18:00,Medium
M0526,3,10:00,19:00,Low
M0527,3,10:00,16:00,High
M0528,2,08:00,16:00,High
M0529,2,09:00,19:00,Low
M0530,2,11:00,16:00,Medium
M0531,1,09:00,17:00,Low
M0532,4,09:00,17:00,Medium
M0533,1,09:00,19:00,Medium
M0534,1,08:00,17:00,High
M0535,3,10:00,17:00,Medium
M0536,2,09:00,18:00,Medium
M0537,4,08:00,18:00,Low
M0538,3,09:00,17:00,Low
M0539,1,09:00,19:00,Low
M0540,2,08:00,18:00,Low
M0541,3,10:00,16:00,High
M0542,2,10:00,16:00,Medium
M0543,3,11:00,16:00,Medium
M0544,2,08:00,19:00,Low
M0545,1,11:00,17:00,High
M0546,4,11:00,16:00,High
M0547,1,11:00,19:00,Low
M0548,4,10:00,18:00,High
M0549,2,08:00,17:00,Medium
M0550,3,11:00,18:00,Low
M0551,1,08:00,19:00,Medium
M0552,4,08:00,16:00,Medium
M0553,1,10:00,16:00,Low
M0554,4,11:00,19:00,High
M0555,1,11:00,16:00,High
M0556,4,08:00,17:00,Medium
M0557,4,09:00,19:00,Medium
M0558,2,10:00,18:00,Medium
M0559,4,10:00,19:00,Medium
M0560,2,10:00,17:00,Medium
M0561,4,10:00,17:00,Low
M0562,3,11:00,19:00,Medium
M0563,3,11:00,19:00,High
M0564,3,09:00,16:00,Medium
M0565,4,10:00,17:00,Low
M0566,2,10:00,19:00,High
M0567,2,08:00,19:00,Low
M0568,4,11:00,17:00,Low
M0569,3,10:00,19:00,Low
M0570,3,09:00,16:00,Medium
M0571,2,09:00,17:00,High
M0572,3,11:00,16:00,Medium
M0573,1,09:00,16:00,Low
M0574,2,09:00,16:00,High
M0575,3,11:00,16:00,High
M0576,2,10:00,17:00,High
M0577,1,10:00,16:00,Low
M0578,2,09:00,16:00,Medium
M0579,2,09:00,19:00,High
M0580,2,10:00,17:00,High
M0581,2,11:00,17:00,Low
M0582,1,09:00,18:00,Low
M0583,4,08:00,17:00,Medium
M0584,2,11:00,17:00,High
M0585,2,09:00,18:00,Medium
M0586,3,09:00,17:00,Medium
M0587,2,08:00,17:00,Low
M0588,3,08:00,17:00,Medium
M0589,4,10:00,17:00,High
M0590,1,11:00,18:00,Medium
M0591,1,11:00,17:00,High
M0592,4,10:00,17:00,High
M0593,1,11:00,18:00,Low
M0594,4,11:00,19:00,Medium
M0595,4,11:00,16:00,Low
M0596,4,11:00,19:00,High
M0597,1,11:00,18:00,Medium
M0598,3,08:00,16:00,Medium
M0599,4,11:00,18:00,High
M0600,2,08:00,18:00,Medium
M0601,1,11:00,17:00,High
M0602,4,10:00,16:00,Medium
M0603,4,09:00,17:00,Low
M0604,2,08:00,16:00,Medium
M0605,3,11:00,18:00,High
M0606,3,10:00,18:00,Medium
M0607,3,09:00,19:00,High
M0608,4,08:00,16:00,High
M0609,4,09:00,17:00,Low
M0610,4,10:00,19:00,High
M0611,1,08:00,19:00,Low
M0612,2,09:00,19:00,Low
M0613,4,11:00,17:00,Low
M0614,2,08:00,19:00,High
M0615,2,09:00,17:00,Medium
M0616,3,10:00,19:00,Low
M0617,1,10:00,17:00,Medium
M0618,4,08:00,18:00,Medium
M0619,3,09:00,18:00,Low
M0620,3,08:00,18:00,High
M0621,4,08:00,18:00,High
M0622,2,09:00,18:00,Medium
M0623,3,09:00,19:00,High
M0624,2,11:00,19:00,Medium
M0625,1,09:00,19:00,High
M0626,2,10:00,17:00,Medium
M0627,1,08:00,17:00,Medium
M0628,2,08:00,17:00,Low
M0629,3,10:00,17:00,High
M0630,3,09:00,18:00,Medium
M0631,1,10:00,18:00,Low
M0632,4,10:00,18:00,Low
M0633,1,11:00,16:00,Medium
M0634,1,10:00,19:00,Medium
M0635,2,08:00,17:00,High
M0636,2,10:00,17:00,High
M0637,1,08:00,18:00,Low
M0638,3,08:00,17:00,High
M0639,2,08:00,17:00,Low
M0640,4,09:00,19:00,High
M0641,2,11:00,18:00,High
M0642,2,08:00,19:00,Medium
M0643,4,08:00,16:00,High
M0644,1,09:00,16:00,Medium
M0645,4,08:00,16:00,Medium
M0646,1,10:00,18:00,High
M0647,1,10:00,17:00,Medium
M0648,1,11:00,18:00,Medium
M0649,4,08:00,18:00,Medium
M0650,1,09:00,17:00,High
M0651,3,10:00,19:00,Medium
M0652,4,09:00,16:00,Low
M0653,3,09:00,19:00,High
M0654,1,10:00,16:00,High
M0655,2,09:00,18:00,Low
M0656,1,10:00,16:00,Low
M0657,3,09:00,18:00,Low
M0658,3,10:00,19:00,Medium
M0659,4,08:00,18:00,Medium
M0660,2,11:00,19:00,High
M0661,4,10:00,17:00,Medium
M0662,3,10:00,17:00,Medium
M0663,1,11:00,17:00,Medium
M0664,2,10:00,18:00,High
M0665,1,10:00,17:00,Medium
M0666,1,09:00,16:00,High
M0667,2,11:00,19:00,Medium
M0668,4,08:00,19:00,Low
M0669,1,10:00,16:00,Medium
M0670,3,11:00,18:00,Medium
M0671,1,09:00,18:00,Medium
M0672,2,08:00,19:00,Low
M0673,2,11:00,17:00,Low
M0674,2,08:00,18:00,High
M0675,4,08:00,18:00,Low
M0676,1,08:00,16:00,High
M0677,4,10:00,16:00,Low
M0678,4,10:00,17:00,Medium
M0679,2,09:00,18:00,Medium
M0680,2,09:00,18:00,Medium
M0681,4,11:00,16:00,Medium
M0682,1,09:00,18:00,Low
M0683,3,08:00,19:00,Low
M0684,4,08:00,16:00,Medium
M0685,1,10:00,17:00,Medium
M0686,2,08:00,16:00,High
M0687,2,11:00,18:00,High
M0688,1,08:00,17:00,High
M0689,3,08:00,16:00,High
M0690,2,11:00,19:00,Medium
M0691,2,09:00,19:00,Low
M0692,2,09:00,16:00,High
M0693,1,11:00,19:00,Medium
M0694,4,10:00,19:00,Medium
M0695,2,08:00,19:00,Low
M0696,4,11:00,17:00,Medium
M0697,3,08:00,19:00,Medium
M0698,2,10:00,19:00,High
M0699,2,08:00,19:00,Medium
M0700,3,11:00,17:00,Medium
M0701,2,08:00,16:00,High
M0702,4,09:00,18:00,Low
M0703,1,10:00,19:00,Medium
M0704,4,10:00,16:00,Low
M0705,1,10:00,19:00,High
M0706,1,11:00,17:00,High
M0707,4,10:00,16:00,Low
M0708,4,09:00,17:00,High
M0709,4,11:00,19:00,Low
M0710,4,09:00,19:00,High
M0711,3,08:00,17:00,High
M0712,2,08:00,18:00,High
M0713,1,08:00,17:00,Low
M0714,4,08:00,19:00,High
M0715,4,09:00,17:00,High
M0716,4,11:00,18:00,Medium
M0717,3,11:00,17:00,High
M0718,4,10:00,18:00,Low
M0719,4,09:00,18:00,High
M0720,4,08:00,17:00,Low
M0721,2,09:00,17:00,High
M0722,3,10:00,16:00,Medium
M0723,4,10:00,19:00,Low
M0724,1,09:00,18:00,Low
M0725,1,09:00,16:00,Low
M0726,1,09:00,17:00,Medium
M0727,3,11:00,19:00,Medium
M0728,3,08:00,16:00,Medium
M0729,1,09:00,18:00,Low
M0730,4,09:00,16:00,Low
M0731,3,09:00,18:00,High
M0732,1,10:00,17:00,Low
M0733,1,10:00,19:00,High
M0734,4,11:00,19:00,High
M0735,2,08:00,19:00,Medium
M0736,3,11:00,17:00,Medium
M0737,4,08:00,18:00,High
M0738,1,10:00,17:00,Low
M0739,1,10:00,19:00,Low
M0740,4,10:00,17:00,Low
M0741,3,11:00,17:00,High
M0742,2,09:00,17:00,Low
M0743,2,09:00,18:00,Medium
M0744,1,10:00,16:00,High
M0745,3,09:00,16:00,High
M0746,2,09:00,17:00,Medium
M0747,3,11:00,16:00,Low
M0748,3,08:00,16:00,High
M0749,1,10:00,17:00,Medium
M0750,2,10:00,17:00,Low
M0751,4,11:00,19:00,Low
M0752,1,11:00,16:00,High
M0753,2,09:00,18:00,Medium
M0754,2,10:00,17:00,High
M0755,2,08:00,19:00,High
M0756,2,11:00,18:00,Medium
M0757,2,08:00,16:00,Medium
M0758,3,08:00,19:00,Medium
M0759,1,10:00,17:00,Medium
M0760,3,10:00,18:00,Medium
M0761,4,11:00,17:00,High
M0762,2,10:00,16:00,Medium
M0763,1,10:00,18:00,High
M0764,2,10:00,16:00,Medium
M0765,1,08:00,16:00,Medium
M0766,3,11:00,19:00,Medium
M0767,1,09:00,17:00,Medium
M0768,4,08:00,18:00,High
M0769,4,10:00,16:00,Low
M0770,1,08:00,16:00,Medium
M0771,1,10:00,18:00,Low
M0772,1,10:00,16:00,Medium
M0773,1,08:00,19:00,Medium
M0774,4,11:00,19:00,Medium
M0775,2,10:00,19:00,High
M0776,1,11:00,19:00,Medium
M0777,1,09:00,16:00,High
M0778,4,10:00,18:00,Medium
M0779,4,11:00,18:00,Medium
M0780,3,11:00,18:00,Low
M0781,1,09:00,18:00,Low
M0782,3,11:00,17:00,Medium
M0783,4,11:00,18:00,Medium
M0784,4,09:00,17:00,Low
M0785,2,10:00,17:00,Low
M0786,1,11:00,19:00,Low
M0787,3,11:00,17:00,High
M0788,4,11:00,16:00,Medium
M0789,4,08:00,17:00,Medium
M0790,3,09:00,19:00,Low
M0791,2,08:00,17:00,Medium
M0792,4,09:00,16:00,Low
M0793,1,10:00,16:00,Low
M0794,4,10:00,16:00,Medium
M0795,1,11:00,19:00,Low
M0796,3,09:00,19:00,Low
M0797,1,10:00,18:00,Low
M0798,3,09:00,19:00,Low
M0799,1,10:00,16:00,Low
M0800,3,08:00,16:00,Medium
M0801,1,10:00,19:00,High
M0802,2,08:00,17:00,Medium
M0803,1,10:00,19:00,Medium
M0804,1,11:00,19:00,Low
M0805,2,08:00,16:00,High
M0806,4,10:00,18:00,Medium
M0807,4,11:00,16:00,Low
M0808,1,08:00,18:00,Medium
M0809,2,11:00,16:00,Low
M0810,1,09:00,19:00,Medium
M0811,3,09:00,16:00,Medium
M0812,3,08:00,16:00,High
M0813,1,10:00,16:00,Medium
M0814,4,08:00,19:00,High
M0815,4,11:00,19:00,High
